model,horizon,regime,meta_model,position_sizing,cost_bps,cagr,annual_volatility,sharpe,sortino,max_drawdown,cost_drag,turnover,number_of_trades,gross_cagr
lightgbm,1,hard,none,prediction_magnitude,50,-0.0669325052506676,0.0068603549346243,-10.093458034975736,-11.721175665602331,-0.1920046348493872,0.2166146825396825,0.0558451612903225,1082.0,0.0011714353262739
ridge,5,none,none,equal,5,-0.0207718271601721,0.0308398098532935,-0.6652067676906197,-1.0247957842396616,-0.0904371484760721,0.0368740158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,equal,10,-0.031896883282882,0.0308388997597952,-1.0356957470680206,-1.5853096321249924,-0.1099236643562512,0.0720100158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,equal,20,-0.0537708176928568,0.0308402439482142,-1.7765570081425306,-2.693170623125386,-0.1562760364149394,0.1422820158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,equal,50,-0.1164833146744142,0.0308695768251584,-3.9954760247685184,-5.84195170552307,-0.3165985470697963,0.3530980158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,inverse_volatility,5,-0.0207718271601721,0.0308398098532935,-0.6652067676906196,-1.0247957842396616,-0.0904371484760722,0.0368740158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,inverse_volatility,10,-0.031896883282882,0.0308388997597952,-1.0356957470680206,-1.5853096321249924,-0.1099236643562512,0.0720100158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,inverse_volatility,20,-0.0537708176928568,0.0308402439482142,-1.7765570081425306,-2.693170623125385,-0.1562760364149394,0.1422820158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,inverse_volatility,50,-0.1164833146744142,0.0308695768251584,-3.9954760247685184,-5.84195170552307,-0.3165985470697962,0.3530980158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,prediction_magnitude,5,-0.0207718271601721,0.0308398098532935,-0.6652067676906196,-1.0247957842396616,-0.0904371484760722,0.0368740158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,prediction_magnitude,10,-0.031896883282882,0.0308388997597952,-1.0356957470680206,-1.5853096321249924,-0.1099236643562512,0.0720100158730158,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,prediction_magnitude,20,-0.0537708176928568,0.0308402439482142,-1.7765570081425306,-2.693170623125385,-0.1562760364149394,0.1422820158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,none,none,prediction_magnitude,50,-0.1164833146744142,0.0308695768251584,-3.9954760247685184,-5.84195170552307,-0.3165985470697962,0.3530980158730159,0.0906735483870967,8784.0,-0.008959537964059
ridge,5,hard,none,equal,5,-0.001668354474957,0.0071554764893191,-0.2297781514493186,-0.3023872486274029,-0.0154354151567157,0.0071868095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,equal,10,-0.0038889093086378,0.0071573871770488,-0.5408225908186647,-0.7111738840261241,-0.0187146345425605,0.0140348095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,equal,20,-0.0083152798597518,0.0071624293056863,-1.1622154095445263,-1.5268526873846189,-0.02727472395043,0.0277308095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,equal,50,-0.0214772558262197,0.0071872846663873,-3.017066084362526,-3.936681600380581,-0.0658522776425687,0.0688188095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,inverse_volatility,5,-0.001668354474957,0.0071554764893191,-0.2297781514493186,-0.3023872486274029,-0.0154354151567157,0.0071868095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,inverse_volatility,10,-0.0038889093086378,0.0071573871770488,-0.5408225908186647,-0.7111738840261241,-0.0187146345425605,0.0140348095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,inverse_volatility,20,-0.0083152798597518,0.0071624293056863,-1.1622154095445263,-1.5268526873846184,-0.02727472395043,0.0277308095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,inverse_volatility,50,-0.0214772558262197,0.0071872846663873,-3.017066084362526,-3.936681600380581,-0.0658522776425687,0.0688188095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,prediction_magnitude,5,-0.001668354474957,0.0071554764893191,-0.2297781514493186,-0.3023872486274029,-0.0154354151567157,0.0071868095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,prediction_magnitude,10,-0.0038889093086378,0.0071573871770488,-0.5408225908186647,-0.7111738840261241,-0.0187146345425605,0.0140348095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,prediction_magnitude,20,-0.0083152798597518,0.0071624293056863,-1.1622154095445263,-1.5268526873846184,-0.02727472395043,0.0277308095238095,0.0176722580645161,1712.0,0.0006673633010909
ridge,5,hard,none,prediction_magnitude,50,-0.0214772558262197,0.0071872846663873,-3.017066084362526,-3.936681600380581,-0.0658522776425687,0.0688188095238095,0.0176722580645161,1712.0,0.0006673633010909
xgboost,5,none,none,equal,5,-0.015862439780478,0.025564956871861,-0.612662957586768,-0.8995795799131806,-0.0797777222072759,0.0280838888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,equal,10,-0.0243896486010668,0.0255796488365525,-0.9524766494022144,-1.392172771053168,-0.1004350675649803,0.0548438888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,equal,20,-0.0412240089564658,0.0256128335817574,-1.630692298900397,-2.3622138575815006,-0.1403713141303374,0.1083638888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,equal,50,-0.0900114491471163,0.0257426011227922,-3.6505459102879407,-5.150698770610177,-0.2531554528416589,0.2689238888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,inverse_volatility,5,-0.015862439780478,0.025564956871861,-0.6126629575867683,-0.899579579913181,-0.0797777222072759,0.0280838888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,inverse_volatility,10,-0.0243896486010668,0.0255796488365525,-0.9524766494022144,-1.3921727710531684,-0.1004350675649803,0.0548438888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,inverse_volatility,20,-0.0412240089564657,0.0256128335817574,-1.630692298900397,-2.3622138575815,-0.1403713141303372,0.1083638888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,inverse_volatility,50,-0.0900114491471163,0.0257426011227922,-3.6505459102879407,-5.150698770610178,-0.2531554528416589,0.2689238888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,prediction_magnitude,5,-0.015862439780478,0.025564956871861,-0.6126629575867683,-0.899579579913181,-0.0797777222072759,0.0280838888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,prediction_magnitude,10,-0.0243896486010668,0.0255796488365525,-0.9524766494022144,-1.3921727710531684,-0.1004350675649803,0.0548438888888888,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,prediction_magnitude,20,-0.0412240089564657,0.0256128335817574,-1.630692298900397,-2.3622138575815,-0.1403713141303372,0.1083638888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,none,none,prediction_magnitude,50,-0.0900114491471163,0.0257426011227922,-3.6505459102879407,-5.150698770610178,-0.2531554528416589,0.2689238888888889,0.069058064516129,6690.0,-0.0068335720273787
xgboost,5,hard,none,equal,5,-0.0036301315378275,0.0056255205458599,-0.6436573441822735,-0.8952598554068767,-0.0162115592478981,0.0061036984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,equal,10,-0.00551268272764,0.0056298855779427,-0.9790688642594764,-1.3555720703337697,-0.0199454654825884,0.0119196984126984,0.0150090322580645,1454.0,-0.0016506451688658
xgboost,5,hard,none,equal,20,-0.0092671764901108,0.0056409722469836,-1.6476453704783445,-2.262826196180441,-0.0309234226971786,0.0235516984126984,0.0150090322580645,1454.0,-0.0016506451688658
